University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Johns Hopkins University,Students Against Private Police,Inactive,Other,https://www.facebook.com/NOPRIVATEPOLICEJHU/,,
Johns Hopkins University,Hopkins Coalition Against ICE,Inactive,Other,https://www.facebook.com/ICEoutJHU/,,
Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health SJP,Active,SJP,https://www.instagram.com/bsph.sjp/,,
Kalamazoo College,SJP,Active,SJP,https://www.instagram.com/sjpkzoo/,,
Kennesaw State University,Students for Justice in Palestine,Inactive,SJP,https://www.instagram.com/kennesawsjp/,,
Kent State University,SJP,Active,SJP,https://www.facebook.com/SJPKSU/,https://www.instagram.com/ksusjp/,
Kent State University,Kent State SALSA,Inactive,Other,https://www.facebook.com/pg/KentStateSALSA/,,
Kent State University,Jewish Voice for Peace,Inactive,JVP,https://www.instagram.com/jvpkent/,,
Kenyon College,SJP,Active,SJP,https://www.instagram.com/kenyonsjp/,,
Kenyon College,JVP,Inactive,JVP,https://kenyoncollegian.com/news/2018/04/jewish-voices-for-peace-hosts-first-meeting-to-create-dialouge/,,
Kenyon College,Kenyon Solidarity Boycott,Inactive,Divest,https://www.facebook.com/solidarityboycott/,,
Lafayette College,SJP,Active,SJP,https://www.instagram.com/laf_sjp/,https://www.instagram.com/lv_sjp/,
Lafayette College,Pards for Palestine,Active,SJP,https://lafayettestudentnews.com/153786/news/pro-palestine-protest-promotes-peace-generates-backlash/,,
Lawrence University,SJP,Inactive,SJP,https://www.facebook.com/SJPLU/,,
Le Moyne College,Peace Action Le Moyne,Active,SJP,https://www.instagram.com/peaceaction_lemoyne/,,
Lehigh University,Lehigh4Palestine,Active,SJP,https://www.instagram.com/lehigh4palestine/,,
Lehigh University,Student Political Action Committee (SPAC),Active,Other,https://www.instagram.com/lehighspac/,,
Lewis University,SJP,Inactive,SJP,https://www.instagram.com/sjplewisuniversity/,https://www.facebook.com/SJPLEWISUNI,
Los Angeles Valley College,SJP,Inactive,SJP,https://twitter.com/sjplavc,,
Louisiana State University,SJP at LSU,Active,SJP,https://www.instagram.com/sjpatlsu/,https://www.facebook.com/SJPatLSU,
Louisiana State University,LSU Black Student Union,Active,Other,https://www.instagram.com/bsuatlsu/,https://www.instagram.com/p/CO8d7C2n3V8/,
Louisiana State University,Cooperation Rouge,Inactive,Other,https://www.instagram.com/cooperationrouge/,https://www.instagram.com/p/COye16hhTCW/,
Loyola Marymount University,Faculty for Justice in Palestine @ LMU,Active,Faculty,https://www.instagram.com/lmu.fjp/,,
Loyola Marymount University,SJP Loyola Marymount,Active,SJP,https://www.instagram.com/sjplmu/,,
Loyola University Chicago,SJP,Active,SJP,https://www.instagram.com/sjpluc/,https://www.facebook.com/sjp.loyola/,
Loyola University Chicago,Loyola Divest,Inactive,Divest,https://www.facebook.com/LoyolaDivest/,,
Loyola University Chicago,Loyola Chicago Dissenters,Active,Other,https://www.instagram.com/lucdissenters/,,
Loyola University New Orleans,Students for a Democratic Society,Active,Other,https://www.instagram.com/loynosds/,,
Macalester College,Students United for Palestinian Equal Rights,Inactive,SJP,https://www.facebook.com/macforpalestine/,,
Macalester College,JVP,Inactive,JVP,https://www.instagram.com/jvpmacalester/,,
Macalester College,Mac If Not Now,Active,Other,https://www.instagram.com/macifnotnow/,,
Macalester College,Macalester Adelante,Active,Other,https://www.instagram.com/macalesteradelante/,,
Macalester College,YDSA - Young Democratic Socialists of America,Active,Other,https://www.instagram.com/macalester_ydsa/,,
Marquette University,MU Divest,Inactive,Divest,https://www.facebook.com/MUDivest/,,
Marquette University,SJP,Active,SJP,https://www.instagram.com/sjpmarquette/,,
Massachusetts Institute of Technology,Palestine @ MIT,Active,SJP,https://www.facebook.com/pg/palestineatmit/posts/,https://www.instagram.com/palestineatmit/,
Massachusetts Institute of Technology,MIT Arab Students' Organization,Active,Other,https://www.facebook.com/ASOMIT,https://www.instagram.com/aso.mit/,
Massachusetts Institute of Technology,MIT Coalition Against Apartheid,Active,Other,https://www.instagram.com/mit_caa/,,
