University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
North Carolina State University,"10 Watauga Club Drive Raleigh, NC 27607",10 Watauga Club Drive,,Raleigh,NC,27607,,35.786058,-78.664294,155,South,North Carolina
North Carolina Wesleyan College ,"3400 N Wesleyan Blvd Rocky Mount, NC 27804",3400 N Wesleyan Blvd,,Rocky Mount,NC,27804,,36.01565,-77.77145,632,South,North Carolina
North Dakota State University,"1340 Administration Ave Fargo, ND 58105",1340 Administration Ave,,Fargo,ND,58105,,46.891669,-96.800275,560,Midwest,North Dakota
Northeastern Illinois University,"5500 St Louis Ave Chicago, IL 60625",5500 St Louis Ave,,Chicago,IL,60625,,41.98121,-87.71623,378,Midwest,Illinois
Northeastern University,"40 Leon St. Boston, MA 2115",40 Leon St.,,Boston,MA,2115,,42.33787,-71.09144,156,Northeast,Massachusetts
Northern Arizona University,"S San Francisco St Flagstaff, AZ 86011",S San Francisco St,,Flagstaff,AZ,86011,,35.195761,-111.648934,379,West,Arizona
Northern Illinois University,"1425 W. Lincoln Hwy. DeKalb, IL 60115",1425 W. Lincoln Hwy.,,DeKalb,IL,60115,,41.930931,-88.780895,450,Midwest,Illinois
"Northern Virginia Community College, Annandale","8333 Little River Turnpike Annandale, VA 22003",8333 Little River Turnpike,,Annandale,VA,22003,,38.83582,-77.23196,157,South,Virginia
North Orange County Community College District,"1830 W Romneya Dr Anaheim, CA 92801",1830 W Romneya Dr,,Anaheim,CA,92801,,33.84989,-117.94577,683,West,California
Northwestern University,"633 Clark St Evanston, IL 60208",633 Clark St,,Evanston,IL,60208,,42.049918,-87.679272,158,Midwest,Illinois
Northwest Missouri State University,"800 University Dr Maryville, MO 64468",800 University Dr,,Maryville,MO,64468,,40.35236,-94.88193,451,Midwest,Missouri
Nova Southeastern University,"3301 College Ave Fort Lauderdale, FL 33314",3301 College Ave,,Fort Lauderdale,FL,33314,,26.07796,-80.23911,633,South,Florida
Oakland University,"318 Meadow Brook Rd Rochester, MI 48309",318 Meadow Brook Rd,,Rochester,MI,48309,,42.673885,-83.218675,159,Midwest,Michigan
